id,name,host_id,room_type,price,minimum_nights,listing_url,created_at,updated_at
28237023,Rental unit in Berlin · ★5.0 · 2 bedrooms · 2 beds · 2 baths,213278089,Entire home/apt,,4,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28238467,Rental unit in Berlin · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,32408628,Private room,55,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27892321,Rental unit in Berlin · 1 bedroom · 1 bed · 1 shared bath,11057537,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28298952,Serviced apartment in Berlin · ★5.0 · 1 bedroom · 1 bed · 1 private bath,212189469,Hotel room,305,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28299184,Serviced apartment in Berlin · 1 bedroom · 1 bed · 1 private bath,212189469,Hotel room,328,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28240669,Rental unit in Berlin · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,213304271,Entire home/apt,200,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28241993,Rental unit in Berlin · ★4.54 · 2 bedrooms · 3 beds · 2 baths,156046558,Entire home/apt,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28299394,Rental unit in Berlin · ★5.0 · 1 bedroom · 1 bed · 1 bath,142008014,Entire home/apt,77,6,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28248485,Rental unit in Berlin · ★4.78 · 1 bedroom · 4 beds · 1 bath,190957759,Entire home/apt,99,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28249744,Rental unit in Berlin · ★4.76 · 1 bedroom · 6 beds · 1 bath,190957759,Entire home/apt,102,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28299765,Serviced apartment in Berlin · ★4.60 · Studio · 1 bed · 1 private bath,148054076,Hotel room,99,7,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
